"","Country","Awareness","Caused by
human activity","Perceived
as threat"
"1","Afghanistan",25,29,18
"2","Algeria",56,54,46
"3","Angola",43,70,38
"4","Argentina",76,81,71
"5","Armenia",78,28,65
"6","Australia",97,54,75
"7","Austria",95,51,54
"8","Azerbaijan",58,42,43
"9","Bangladesh",33,62,32
"10","Belarus",80,48,30
"11","Belgium",89,50,68
"12","Belize",53,59,45
"13","Benin",21,46,15
"14","Bolivia",55,73,51
"15","Botswana",38,26,30
"16","Brazil",79,80,76
"17","Burkina Faso",36,52,34
"18","Burundi",22,38,20
"19","Cambodia",58,34,51
"20","Cameroon",49,52,32
"21","Canada",95,61,74
"22","Central African Republic",56,58,37
"23","Chad",45,31,38
"24","Chile",73,78,69
"25","China",62,58,21
"26","Colombia",68,77,65
"27","Costa Rica",75,87,72
"28","Czech Republic",87,52,39
"29","Democratic Republic of the Congo",53,52,41
"30","Denmark",90,49,40
"31","Djibouti",43,62,35
"32","Dominican Republic",50,52,46
"33","Ecuador",70,81,69
"34","Egypt",25,60,21
"35","El Salvador",55,75,51
"36","Estonia",88,46,32
"37","Ethiopia",80,56,73
"38","Finland",98,53,39
"39","France",93,63,75
"40","Georgia",62,37,47
"41","Germany",96,59,60
"42","Ghana",26,51,19
"43","Greece",87,84,82
"44","Guatemala",57,72,51
"45","Guinea",55,40,43
"46","Guyana",67,36,56
"47","Haiti",46,38,35
"48","Honduras",62,58,57
"49","Hong Kong",93,78,54
"50","Hungary",93,65,75
"51","Iceland",95,38,33
"52","India",35,53,29
"53","Indonesia",39,55,33
"54","Iran",55,62,43
"55","Iraq",55,38,28
"56","Ireland",94,66,60
"57","Israel",86,63,62
"58","Italy",84,65,76
"59","Japan",99,91,80
"60","Jordan",62,53,51
"61","Kazakhstan",60,54,35
"62","Kenya",56,59,49
"63","Kyrgyzstan",52,42,39
"64","Laos",80,65,49
"65","Latvia",91,54,37
"66","Lebanon",64,64,54
"67","Liberia",15,41,13
"68","Lithuania",91,50,47
"69","Luxembourg",95,60,75
"70","Madagascar",49,67,46
"71","Malaysia",71,63,50
"72","Mali",53,72,48
"73","Malta",75,68,64
"74","Mauritania",44,48,35
"75","Mexico",67,71,63
"76","Moldova",83,48,73
"77","Mongolia",75,54,30
"78","Morocco",30,68,29
"79","Mozambique",54,53,48
"80","Namibia",46,49,35
"81","Nepal",37,48,32
"82","Netherlands",96,44,57
"83","Nicaragua",53,66,49
"84","Niger",24,35,21
"85","Nigeria",28,27,18
"86","Norway",97,47,43
"87","Pakistan",34,25,24
"88","Palestine",67,50,55
"89","Panama",65,73,61
"90","Paraguay",58,79,54
"91","Peru",62,72,58
"92","Philippines",47,72,42
"93","Poland",84,58,54
"94","Portugal",90,79,85
"95","Qatar",64,39,43
"96","Republic of the Congo",41,58,31
"97","Romania",81,60,66
"98","Russia",85,52,39
"99","Rwanda",30,44,22
"100","Saudi Arabia",49,39,40
"101","Senegal",36,27,33
"102","Sierra Leone",36,31,24
"103","Singapore",84,44,59
"104","South Africa",31,29,21
"105","South Korea",93,92,80
"106","Spain",85,71,69
"107","Sri Lanka",73,63,65
"108","Sudan",47,69,42
"109","Sweden",96,64,56
"110","Syria",56,54,41
"111","Taiwan",91,70,70
"112","Tajikistan",43,81,19
"113","Tanzania",53,15,48
"114","Thailand",88,55,61
"115","Togo",29,43,23
"116","Trinidad and Tobago",72,76,71
"117","Tunisia",60,50,46
"118","Turkey",74,70,66
"119","Uganda",35,66,30
"120","Ukraine",79,51,52
"121","United Kingdom",97,48,69
"122","United States",97,49,63
"123","Uruguay",73,75,68
"124","Uzbekistan",53,18,38
"125","Venezuela",63,65,62
"126","Vietnam",73,49,53
"127","Zambia",27,43,18
"128","Zimbabwe",52,41,36
